Categorie,Hashtag/Locatie,Tip,Prioritate,Note
Beauty,#salontimisoara,Hashtag,Inalta,Principal pentru saloane
Beauty,#frizeritimisoara,Hashtag,Inalta,Frizerii barbati/femei
Beauty,#nailstimisoara,Hashtag,Medie,Nail art studios
Beauty,#makeupartisttimisoara,Hashtag,Medie,Makeup artists freelance
Beauty,#cosmeticatimisoara,Hashtag,Medie,Saloane cosmetica
Food,#restauranttimisoara,Hashtag,Inalta,Restaurante generale
Food,#pizzatimisoara,Hashtag,Inalta,Pizzerii - potential mare
Food,#cafeneatimisoara,Hashtag,Medie,Cafenele
Food,#foodtimisoara,Hashtag,Medie,Food bloggers + restaurante
Food,#brunchtimisoara,Hashtag,Joasa,Nisa - brunch spots
Fitness,#fitnesstimisoara,Hashtag,Inalta,Sali fitness
Fitness,#personaltrainertimisoara,Hashtag,Medie,PT individuali
Fitness,#yogatimisoara,Hashtag,Medie,Studiouri yoga
Medical,#stomatologtimisoara,Hashtag,Medie,Cabinete stomatologice
Medical,#clinicatimisoara,Hashtag,Joasa,Clinici private
Location,Iulius Town Timisoara,Locatie,Inalta,Mall principal - multe afaceri
Location,Shopping City Timisoara,Locatie,Medie,Mall secundar
Location,Centrul Vechi Timisoara,Locatie,Inalta,Restaurante si cafenele
Location,Piata Victoriei,Locatie,Medie,Zona centrala
Location,Complexul Studentesc,Locatie,Joasa,Target mai tanar